PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	REFOBJTYP
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000935804			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000935443			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000932726			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000932641			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000932373			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000874226			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000902541			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000909339			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000913330			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000917997			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000919621			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000920752			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000921216			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000921873			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000922244			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000922261			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000939882			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000877308			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000972806			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000970270			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000970191			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000873630			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000885409			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000885335			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000884986			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000876796			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000876437			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000875969			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000875816			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000875725			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000875627			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000939473			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000939061			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000766505			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000698238			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000825604			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000827034			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000835846			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000842969			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000843582			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000843815			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000844760			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000888631			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000811988			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000889191			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000819031			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000822488			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000940898			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000929629			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000928751			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000927518			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000940495			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000983064			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000978360			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000975868			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000974880			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000937893			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000966675			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000950510			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000942363			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000944677			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000945326			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000945424			C		SRM 4.00			
R3TR	CORE	Core Modifications	NOTE	NOTE Implementations	0000947923			C		SRM 4.00			
R3TR	CORE	Core Modifications	REPS	Report Source Code	LBBP_PDH_WFLUXX			C		SRM 4.00			
